Date,Open,High,Low,Close,Adj Close,Volume
2020-04-10,44.299999,45.000000,44.150002,44.750000,42.347012,362171
2020-04-13,44.799999,45.000000,44.349998,44.750000,42.347012,222656
2020-04-14,44.849998,45.500000,44.849998,45.500000,43.056740,229059
2020-04-15,45.500000,45.750000,45.299999,45.500000,43.056740,615350
2020-04-16,45.450001,45.450001,44.900002,45.099998,42.678215,368684
2020-04-17,45.299999,45.599998,44.500000,44.700001,42.299698,411858
2020-04-20,44.500000,44.900002,44.299999,44.900002,42.488960,414282
2020-04-21,44.700001,44.750000,44.200001,44.250000,41.873859,660172
2020-04-22,44.000000,44.250000,43.299999,44.000000,41.637283,401590
2020-04-23,44.500000,45.200001,44.299999,45.150002,42.725533,453668
2020-04-24,45.299999,45.400002,44.750000,45.099998,42.678215,274642
2020-04-27,45.400002,45.650002,45.150002,45.549999,43.104053,300073
2020-04-28,45.599998,46.099998,45.599998,46.099998,43.624519,256060
2020-04-29,46.099998,47.099998,45.849998,46.950001,44.428875,398576
2020-04-30,47.099998,47.549999,47.049999,47.299999,44.760082,385237
2020-05-04,47.200001,47.200001,46.000000,46.349998,43.861092,307969
2020-05-05,46.500000,47.150002,46.049999,46.650002,44.144985,181578
2020-05-06,46.750000,47.099998,46.299999,46.900002,44.381561,159145
2020-05-07,46.750000,47.450001,46.750000,47.150002,44.618137,225408
2020-05-08,47.299999,48.099998,47.299999,47.900002,45.327866,357284
2020-05-11,47.900002,47.900002,47.200001,47.450001,44.902027,225439
2020-05-12,47.450001,47.450001,46.700001,46.750000,44.239616,238033
2020-05-13,46.000000,46.500000,45.650002,46.400002,43.908413,420642
2020-05-14,46.400002,46.450001,46.049999,46.049999,43.577202,209553
2020-05-15,46.150002,46.200001,45.750000,46.150002,43.671837,217040
2020-05-18,46.000000,46.700001,46.000000,46.150002,43.671837,188432
2020-05-19,46.200001,46.650002,46.200001,46.650002,44.144985,110806
2020-05-20,46.700001,46.900002,45.250000,46.549999,44.050354,160575
2020-05-21,46.599998,47.000000,46.599998,46.750000,44.239616,87489
2020-05-22,46.750000,46.849998,46.000000,46.150002,43.671837,226729
2020-05-25,46.150002,46.650002,45.799999,46.549999,44.050354,90027
2020-05-26,46.650002,47.049999,46.650002,46.950001,44.428875,142970
2020-05-27,47.049999,47.400002,46.599998,47.250000,44.712765,194733
2020-05-28,47.400002,47.599998,46.650002,46.849998,44.334244,147666
2020-05-29,46.849998,47.099998,46.599998,47.049999,44.523506,59765
2020-06-01,47.000000,47.750000,47.000000,47.650002,45.091290,195904
2020-06-02,47.650002,47.750000,47.250000,47.400002,44.854713,178745
